Load time, 32, 4, 2, G, 0.004362
copy-compute-copy time, 32, 4, 2, G, 0.085067
cpu time, 32, 4, 2, G, 0.025278
Load time, 32, 4, 2, S, 0.004416
Load time, 32, 4, 2, T, 0.004095
copy-compute-copy time, 32, 4, 2, T, 0.074934
cpu time, 32, 4, 2, T, 0.021762
Load time, 32, 4, 4, G, 0.004337
copy-compute-copy time, 32, 4, 4, G, 0.079029
cpu time, 32, 4, 4, G, 0.015005
Load time, 32, 4, 4, S, 0.003790
Load time, 32, 4, 4, T, 0.004048
copy-compute-copy time, 32, 4, 4, T, 0.072249
cpu time, 32, 4, 4, T, 0.006693
Load time, 32, 8, 1, G, 0.004358
copy-compute-copy time, 32, 8, 1, G, 0.087566
cpu time, 32, 8, 1, G, 0.321697
Load time, 32, 8, 1, S, 0.004389
Load time, 32, 8, 2, G, 0.003414
copy-compute-copy time, 32, 8, 2, G, 0.071154
cpu time, 32, 8, 2, G, 0.083141
Load time, 32, 8, 2, S, 0.004285
Load time, 32, 8, 2, T, 0.004074
copy-compute-copy time, 32, 8, 2, T, 0.076145
cpu time, 32, 8, 2, T, 0.081349
Load time, 32, 8, 4, G, 0.003785
copy-compute-copy time, 32, 8, 4, G, 0.085826
cpu time, 32, 8, 4, G, 0.039762
Load time, 32, 8, 4, S, 0.004085
Load time, 32, 8, 4, T, 0.004057
copy-compute-copy time, 32, 8, 4, T, 0.074726
cpu time, 32, 8, 4, T, 0.021593
Load time, 16, 4, 4, G, 0.001567
copy-compute-copy time, 16, 4, 4, G, 0.127348
cpu time, 16, 4, 4, G, 0.004017
